                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6805,                 1.8826,                 1.1075,                0.64698,                0.21942,                0.23233,                0.08391,                 2.7561,                  2.958,                 1.8175,             0.00065873,             0.00065873,             0.00065873
                      2,                 1.6975,                 1.1065,                  1.142,                0.05359,                0.42577,                0.03155,                0.01384,                 2.1329,                 16.701,                 1.8707,              0.0013123,              0.0013123,              0.0013123
                      3,                 1.7075,                 1.0101,                  1.129,                0.00647,                0.00093,                0.00027,                  4e-05,                 2.7311,                 6.0254,                 14.501,              0.0019526,              0.0019526,              0.0019526
                      4,                 1.6759,                0.92917,                 1.1109,                0.79699,                0.54622,                0.62218,                0.27621,                 2.0302,                 2.4463,                 1.3845,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6801,                0.87494,                 1.0974,                0.81066,                0.54902,                0.63141,                 0.2794,                 2.0513,                 1.9271,                  1.431,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6388,                0.85113,                 1.0833,                0.36351,                 0.0224,                0.03028,                0.01163,                 4.1274,                 4.3787,                 2.7361,               0.001901,               0.001901,               0.001901
                      7,                  1.516,                0.78234,                  1.048,                0.86468,                0.69001,                0.75316,                0.34806,                  1.936,                 1.3019,                 1.2935,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5126,                0.74839,                 1.0492,                0.81389,                  0.676,                0.73386,                0.33293,                 1.9602,                 1.3585,                 1.3348,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4951,                0.74486,                 1.0515,                 0.8865,                0.70682,                0.79672,                 0.3879,                 1.8718,                 1.1856,                 1.2756,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5023,                0.73763,                 1.0592,                0.86576,                0.73463,                0.81036,                0.41771,                 1.8193,                 1.1904,                 1.2658,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4899,                0.74159,                 1.0379,                 0.8809,                0.72515,                0.80653,                0.37878,                 1.8876,                 1.1515,                 1.2527,               0.001802,               0.001802,               0.001802
                     12,                 1.4783,                0.73542,                 1.0485,                0.83175,                0.67854,                0.72992,                0.36931,                 1.8474,                 1.3411,                 1.2748,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4248,                0.68735,                 1.0269,                0.87696,                0.70028,                0.78652,                0.39891,                 1.7865,                 1.2911,                 1.2362,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3929,                0.65775,                0.99843,                0.90235,                0.74203,                0.80691,                0.41561,                 1.7277,                  1.149,                 1.2219,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4061,                0.65936,                 1.0296,                0.86934,                0.70821,                0.78897,                0.42292,                 1.7988,                 1.2083,                 1.2471,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3723,                0.64269,                 1.0096,                 0.9034,                0.68984,                0.77868,                0.42657,                 1.7307,                 1.1914,                 1.2219,               0.001703,               0.001703,               0.001703
                     17,                 1.4035,                0.66054,                 1.0062,                0.75623,                0.57643,                0.65586,                 0.3392,                 1.8635,                 1.6333,                 1.3002,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3745,                0.65039,                 1.0102,                 0.8688,                0.74194,                0.81812,                 0.4303,                 1.7952,                 1.0488,                 1.2479,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.346,                0.63449,                0.98519,                0.86997,                0.72829,                 0.7996,                0.38975,                 1.8153,                 1.1129,                 1.2398,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.355,                0.62734,                 0.9908,                0.88854,                0.65501,                0.75714,                0.40413,                 1.8063,                 1.4882,                 1.2635,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3179,                0.61034,                0.97919,                0.81569,                0.57516,                 0.6882,                0.37176,                 1.7463,                  1.542,                 1.2417,               0.001604,               0.001604,               0.001604
                     22,                 1.3356,                0.60735,                0.99482,                0.88937,                0.69841,                0.79321,                0.41855,                 1.7414,                 1.0972,                 1.2136,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3357,                0.61845,                0.98751,                0.89533,                0.70285,                0.78071,                0.42911,                 1.7041,                 1.2218,                 1.1927,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.312,                0.60355,                 0.9823,                0.89345,                0.73016,                0.82399,                 0.4411,                 1.7503,                 1.1623,                  1.212,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3146,                0.60063,                0.99788,                0.88118,                0.72013,                0.80925,                0.40441,                 1.7934,                   1.09,                 1.2506,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2889,                0.59749,                0.97485,                0.90107,                0.76751,                 0.8385,                0.46917,                 1.6284,                0.98389,                 1.1735,               0.001505,               0.001505,               0.001505
                     27,                 1.2683,                0.58125,                0.96925,                0.91151,                0.73203,                0.81865,                0.43688,                 1.7021,                 1.0684,                 1.2005,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2681,                0.56049,                0.96443,                0.91861,                0.73772,                0.82953,                0.45252,                 1.7037,                 1.0055,                 1.2071,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2743,                0.56757,                0.97389,                0.92292,                0.68441,                0.79419,                0.42407,                 1.7241,                 1.1678,                 1.2271,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2771,                0.56942,                0.96196,                0.85632,                0.69748,                0.79393,                0.40931,                 1.8309,                 1.2958,                 1.2668,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3014,                0.57684,                0.98122,                0.89247,                0.72844,                0.81624,                0.42276,                 1.7554,                 1.0222,                 1.2107,               0.001406,               0.001406,               0.001406
                     32,                 1.2198,                0.54638,                0.95927,                0.83268,                0.75741,                0.81876,                0.43139,                 1.7046,                 1.1029,                 1.1876,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2467,                0.56337,                0.96551,                0.87472,                0.77031,                0.84454,                0.44396,                  1.698,                 1.0365,                 1.2038,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2808,                 0.5611,                0.97003,                0.90084,                0.77871,                0.85762,                0.44223,                 1.7267,                 1.0112,                 1.2031,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.238,                0.55254,                0.95987,                0.86935,                0.72082,                0.81084,                0.42391,                 1.8184,                 1.2037,                 1.2683,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2336,                0.56477,                0.97805,                0.92715,                0.71055,                0.82569,                0.46195,                 1.6793,                 1.0816,                 1.1998,               0.001307,               0.001307,               0.001307
                     37,                 1.2112,                0.54708,                0.95294,                0.86162,                0.70349,                0.76819,                 0.3981,                 1.7734,                 1.1952,                 1.2449,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2599,                0.55637,                0.95044,                0.89564,                0.76937,                0.85805,                0.45968,                 1.7137,                0.99479,                 1.1992,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2052,                0.53856,                0.95421,                0.86479,                0.73454,                0.81612,                0.45593,                 1.7008,                 1.1619,                 1.1974,              0.0012476,              0.0012476,              0.0012476
